"userId";"title"
"5357";"You Ain't Seen Nothin' Yet"
"8746";"The Gypsy"
"2321";"Just the Way You Are"
"853";"Minnie the Moocher"
"3483";"Uncle Albert (Admiral Halsey)"
"6968";"9 to 5"
"5528";"Maniac"
"6881";"Something"
"2564";"Ghostbusters"
"4565";"California Dreamin'"
"7915";"In the End"
"1840";"Another Night"
"6826";"Venus"
"5177";"Breaking Up is Hard to Do"
"8849";"The Tracks of My Tears"
"518";"That Lucky Old Sun (Just Rolls Around Heaven All Day)"
"2402";"Livin' La Vida Loca"
"3094";"Without Me"
"2349";"Penny Lane"
"1103";"Boogie Oogie Oogie"
"5081";"Tutti Frutti"
"6538";"More Than Words"
"5765";"Delicado"
"5069";"Near You"
"4691";"Leader of the Pack"
"2267";"Some of These Days"
"2552";"You make Me Wanna"
"2086";"Against All Odds (Take a Look At Me Now)"
"4058";"Sweet Dreams (Are Made of This)"
"1513";"Kansas City"
"1147";"Brother"
"4829";"I Can't Stop Loving You"
"1403";"Party Rock Anthem"
"208";"Don't Stop 'Til You Get Enough"
"4720";"If You Don't Know Me By Now"
"2146";"I Wanna Love You"
"1616";"You Sexy Thing"
"5925";"Miss You Much"
"2916";"Love's Theme"
"2829";"Instant Karma"
"743";"Ball of Confusion (That's What the World is Today)"
"7418";"Swanee"
"8766";"Someday"
"6244";"All I Wanna Do"
"5261";"It's Too Late"
"1287";"Sleep Walk"
"3163";"I Will Survive"
"7822";"Working My Way Back to You"
"6019";"TSOP (The Sound of Philadelphia)"
"5767";"Tears in Heaven"
"1563";"Un-Break My Heart"
"4181";"Afternoon Delight"
"5335";"Let Me Love You"
"6215";"Iris"
"3314";"Papa Was a Rolling Stone"
"1135";"Dreams"
"413";"Livin' On a Prayer"
"1119";"Do Wah Diddy Diddy"
"5311";"How You Remind Me"
"5940";"Let Me Call You Sweetheart"
"6347";"The Love You Save"
"233";"Rhapsody in Blue"
"322";"Say It Right"
"1939";"Buttons & Bows"
"1352";"Spanish Harlem"
"4878";"All Night Long (All Night)"
"3195";"(Just Like) Starting Over"
"1969";"Crazy Little Thing Called Love"
"3891";"Whole Lotta Love"
"3837";"Ghostbusters"
"1843";"Jump"
"5198";"Rag Doll"
"2252";"Roses Are Red"
"746";"Ball of Confusion (That's What the World is Today)"
"7641";"Whole Lotta Love"
"5343";"Save the Best For Last"
"8688";"One Bad Apple"
"8291";"All Out of Love"
"4168";"How You Remind Me"
"2838";"Hanging by a Moment"
"939";"Born to Run"
"3364";"Without You"
"506";"Third Man Theme"
"7471";"Call Me"
"3011";"Sweet Georgia Brown"
"5033";"How Much is That Doggy in the Window?"
"4611";"Jessie's Girl"
"4961";"Ac-cent-tchu-ate the Positive"
"4651";"Promiscuous"
"5103";"96 Tears"
"1742";"Ring My Bell"
"1021";"Up Where We Belong"
"1630";"Puttin' on the Ritz"
"8842";"U Can't Touch This"
"7898";"Whispering"
"1673";"Crying"
"2689";"That'll Be the Day"
"4025";"Oh"
"5473";"Harper Valley PTA"
"8066";"Centerfold"
"2949";"Boogie Woogie Bugle Boy"
"7668";"Karma Chameleon"
"7999";"Gimme Some Lovin'"
"2635";"Paint it Black"
"8519";"Magic Carpet Ride"
"4503";"Touch Me"
"5699";"We Are the World"
"4672";"Incense & Peppermints"
"5590";"Don't Be Cruel"
"310";"Big Girls Don't Cry"
"696";"Cars"
"2097";"Frenesi"
"4830";"All Along the Watchtower"
"8813";"Some of These Days"
"7225";"Best of My Love"
"8904";"Me & Mrs Jones"
"7352";"(Just Like) Starting Over"
"4793";"Fire & Rain"
"1376";"Strawberry Fields Forever"
"8011";"Ole Buttermilk Sky"
